order_id,order_date,customer_id,product,category,region,quantity,unit_price,order_status
1001,2026-01-03,501,Notebook,Tecnologia,Sudeste,1,3500.0,completed
1002,2026-01-03,502,Mouse Gamer,Tecnologia,Sul,2,120.0,completed
1003,2026-01-04,503,Cadeira Office,Móveis,Sudeste,1,890.0,pending
1004,2026-01-04,504,Monitor 24,Tecnologia,Nordeste,2,950.0,completed
1005,2026-01-05,505,Teclado Mecânico,Tecnologia,Centro-Oeste,1,420.0,cancelled
1006,2026-01-05,506,Mesa Escritório,Móveis,Sudeste,1,1100.0,completed
1007,2026-01-06,507,Headset,Tecnologia,Sul,3,210.0,completed
1008,2026-01-06,508,Suporte Monitor,Acessórios,Sudeste,2,95.0,pending
1009,2026-01-07,509,Webcam,Tecnologia,Norte,2,180.0,completed
1010,2026-01-07,510,Luminária,Acessórios,Nordeste,4,75.0,completed
